"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-03-23,1620,"Bildung","kitas_betreuung","betreute Kinder in Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-03-26,2103,"Bildung","kitas_betreuung","betreute Kinder in Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-04-07,2538,"Bildung","kitas_betreuung","betreute Kinder in Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-04-28,3842,"Bildung","kitas_betreuung","betreute Kinder in Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-05-14,6616,"Bildung","kitas_betreuung","betreute Kinder in Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-05-28,4293,"Bildung","kitas_betreuung","betreute Kinder in Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-03-23,0.27,"Bildung","kitas_auslastung","Auslastung der Kindertagesstätten","ZH","Anteil","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-03-26,0.3,"Bildung","kitas_auslastung","Auslastung der Kindertagesstätten","ZH","Anteil","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-04-07,0.35,"Bildung","kitas_auslastung","Auslastung der Kindertagesstätten","ZH","Anteil","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-04-28,0.55,"Bildung","kitas_auslastung","Auslastung der Kindertagesstätten","ZH","Anteil","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-05-14,0.87,"Bildung","kitas_auslastung","Auslastung der Kindertagesstätten","ZH","Anteil","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-05-28,0.9,"Bildung","kitas_auslastung","Auslastung der Kindertagesstätten","ZH","Anteil","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-03-23,5,"Bildung","kitas_geschlossen","vorübergehend geschlossene Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-03-26,10,"Bildung","kitas_geschlossen","vorübergehend geschlossene Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-04-07,14,"Bildung","kitas_geschlossen","vorübergehend geschlossene Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-04-28,10,"Bildung","kitas_geschlossen","vorübergehend geschlossene Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-05-14,0,"Bildung","kitas_geschlossen","vorübergehend geschlossene Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
2020-05-28,0,"Bildung","kitas_geschlossen","vorübergehend geschlossene Kindertagesstätten","ZH","Anzahl","Kanton Zürich, Amt für Jugend und Berufsberatung","wöchentlich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_ajb"
